,env_view,env_step,env_memo,obj_view,toggle,pick up,drop off
10,"[[ 0  0  1  1  1  0  0  0  0  0  0]
 [ 3  4  7  8  5  2  0  0  0  0  0]
 [ 3  5  9 10  6  2  0  0  0  0  0]
 [ 3  5  8  9  5  2  0  0  0  0  0]
 [ 0  1  2  2  1  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]]","[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 4 6 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[-10 -10  -6  -6  -6 -10 -10 -10 -10 -10 -10]
 [  4   9  10  10   9  -1 -10 -10 -10 -10 -10]
 [  4  10  10  10   9  -1 -10 -10 -10 -10 -10]
 [  4  10  10  10   8  -1 -10 -10 -10 -10 -10]
 [-10  -6  -1  -1  -6 -10 -10 -10 -10 -10 -10]
 [-10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10]]",[ 0 82 10  0  2  6  5  0  0  0  0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
11,"[[ 0  0  1  1  1  0  0  0  0  0  0]
 [ 3  4  7  8  5  2  0  0  0  0  0]
 [ 3  5 10 11  7  2  0  0  0  0  0]
 [ 3  5  9 10  6  2  0  0  0  0  0]
 [ 0  1  3  3  2  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]]","[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 4 7 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[-10 -10  -7  -7  -7 -10 -10 -10 -10 -10 -10]
 [  3   8   9   9   8  -2 -10 -10 -10 -10 -10]
 [  3   9  10  10  10  -2 -10 -10 -10 -10 -10]
 [  3   9  10  10  10  -2 -10 -10 -10 -10 -10]
 [-10  -7   3   3  -2 -10 -10 -10 -10 -10 -10]
 [-10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10]]",[ 0 90 10  0  2  7  5  0  0  0  0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
12,"[[ 0  0  1  1  1  0  0  0  0  0  0]
 [ 3  4  7  9  6  3  0  0  0  0  0]
 [ 3  5 10 12  8  3  0  0  0  0  0]
 [ 3  5  9 11  7  3  0  0  0  0  0]
 [ 0  1  3  3  2  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]]","[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 4 8 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[-10 -10  -8  -8  -8 -10 -10 -10 -10 -10 -10]
 [  2   7   8  10  10   2 -10 -10 -10 -10 -10]
 [  2   8   9  10  10   2 -10 -10 -10 -10 -10]
 [  2   8   9  10  10   2 -10 -10 -10 -10 -10]
 [-10  -8   2   2  -3 -10 -10 -10 -10 -10 -10]
 [-10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10]]",[ 0 94 12  0  3  8  6  0  0  0  0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
13,"[[ 0  0  2  2  2  0  0  0  0  0  0]
 [ 3  4  8 10  7  3  0  0  0  0  0]
 [ 3  5 11 13  9  3  0  0  0  0  0]
 [ 3  5  9 11  7  3  0  0  0  0  0]
 [ 0  1  3  3  2  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]]","[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 4 9 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[-10 -10  -4  -4  -4 -10 -10 -10 -10 -10 -10]
 [  1   6  10  10  10   1 -10 -10 -10 -10 -10]
 [  1   7  10  10  10   1 -10 -10 -10 -10 -10]
 [  1   7   8   9   9   1 -10 -10 -10 -10 -10]
 [-10  -9   1   1  -4 -10 -10 -10 -10 -10 -10]
 [-10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10]]",[ 0 98 15  0  3  9  7  0  0  0  0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
14,"[[ 0  0  2  2  2  0  0  0  0  0  0]
 [ 4  5  9 11  7  3  0  0  0  0  0]
 [ 4  6 12 14  9  3  0  0  0  0  0]
 [ 4  6 10 12  7  3  0  0  0  0  0]
 [ 0  1  3  3  2  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]]","[[ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  1  4 10  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]]","[[-10 -10  -5  -5  -5 -10 -10 -10 -10 -10 -10]
 [  5  10  10  10   9   0 -10 -10 -10 -10 -10]
 [  5  10  10  10   9   0 -10 -10 -10 -10 -10]
 [  5  10  10  10   8   0 -10 -10 -10 -10 -10]
 [-10 -10   0   0  -5 -10 -10 -10 -10 -10 -10]
 [-10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10]]",[  0 110  15   0   3   9   7   0   0   0   0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
15,"[[ 0  0  3  3  3  0  0  0  0  0  0]
 [ 4  5 10 12  8  3  0  0  0  0  0]
 [ 4  6 13 15 10  3  0  0  0  0  0]
 [ 4  6 10 12  7  3  0  0  0  0  0]
 [ 0  1  3  3  2  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]]","[[ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  1  4 11  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]]","[[-10 -10  -1  -1  -1 -10 -10 -10 -10 -10 -10]
 [  4   9  10  10  10  -1 -10 -10 -10 -10 -10]
 [  4   9  10  10  10  -1 -10 -10 -10 -10 -10]
 [  4   9   9   9   7  -1 -10 -10 -10 -10 -10]
 [-10 -10  -1  -1  -6 -10 -10 -10 -10 -10 -10]
 [-10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10]]",[  0 114  18   0   3  10   8   0   0   0   0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
16,"[[ 0  0  3  3  3  0  0  0  0  0  0]
 [ 5  6 11 13  8  3  0  0  0  0  0]
 [ 5  7 14 16 10  3  0  0  0  0  0]
 [ 5  7 11 13  7  3  0  0  0  0  0]
 [ 0  1  3  3  2  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]]","[[ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  1  4 12  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]]","[[-10 -10  -2  -2  -2 -10 -10 -10 -10 -10 -10]
 [  8  10  10  10   9  -2 -10 -10 -10 -10 -10]
 [  8  10  10  10   9  -2 -10 -10 -10 -10 -10]
 [  8  10  10  10   6  -2 -10 -10 -10 -10 -10]
 [-10 -10  -2  -2  -7 -10 -10 -10 -10 -10 -10]
 [-10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10]]",[  0 126  18   0   3  10   8   0   0   0   0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
17,"[[ 0  0  3  3  3  0  0  0  0  0  0]
 [ 5  6 11 13  8  3  0  0  0  0  0]
 [ 5  7 15 17 11  3  0  0  0  0  0]
 [ 5  7 12 14  8  3  0  0  0  0  0]
 [ 0  1  4  4  3  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]]","[[ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  1  4 13  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]]","[[-10 -10  -3  -3  -3 -10 -10 -10 -10 -10 -10]
 [  7   9   9   9   8  -3 -10 -10 -10 -10 -10]
 [  7   9  10  10  10  -3 -10 -10 -10 -10 -10]
 [  7   9  10  10  10  -3 -10 -10 -10 -10 -10]
 [-10 -10   2   2  -3 -10 -10 -10 -10 -10 -10]
 [-10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10]]",[  0 134  18   0   3  11   8   0   0   0   0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
18,"[[ 0  0  3  3  3  0  0  0  0  0  0]
 [ 5  6 11 13  8  3  0  0  0  0  0]
 [ 5  7 15 17 11  3  0  0  0  0  0]
 [ 5  7 13 15  9  3  0  0  0  0  0]
 [ 0  1  5  5  4  0  0  0  0  0  0]
 [ 0  0  1  1  1  0  0  0  0  0  0]]","[[ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  1  4 13  0  0  0  0  0  0  0]
 [ 0  0  0  1  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]]","[[-10 -10  -4  -4  -4 -10 -10 -10 -10 -10 -10]
 [  6   8   8   8   7  -4 -10 -10 -10 -10 -10]
 [  6   8   9   9   9  -4 -10 -10 -10 -10 -10]
 [  6   8  10  10  10  -4 -10 -10 -10 -10 -10]
 [-10 -10   6   6   1 -10 -10 -10 -10 -10 -10]
 [-10 -10  -5  -5  -5 -10 -10 -10 -10 -10 -10]]",[  0 140  21   0   3  11   8   0   0   0   0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
19,"[[ 0  0  3  3  3  0  0  0  0  0  0]
 [ 5  6 11 13  8  3  0  0  0  0  0]
 [ 5  7 15 18 12  4  0  0  0  0  0]
 [ 5  7 13 16 10  4  0  0  0  0  0]
 [ 0  1  5  6  5  1  0  0  0  0  0]
 [ 0  0  1  1  1  0  0  0  0  0  0]]","[[ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  1  4 13  0  0  0  0  0  0  0]
 [ 0  0  0  2  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]]","[[-10 -10  -5  -5  -5 -10 -10 -10 -10 -10 -10]
 [  5   7   7   7   6  -5 -10 -10 -10 -10 -10]
 [  5   7   8  10  10   0 -10 -10 -10 -10 -10]
 [  5   7   9  10  10   0 -10 -10 -10 -10 -10]
 [-10 -10   5  10   5  -5 -10 -10 -10 -10 -10]
 [-10 -10  -6  -6  -6 -10 -10 -10 -10 -10 -10]]",[  0 145  24   0   3  12   8   0   0   0   0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
