,env_view,env_step,env_memo,obj_view,toggle,pick up,drop off
81,"[[31 34 35 39 43 38  0  0  0  0  0]
 [34 37 38 42 45 40  0  0  0  0  0]
 [31 34 35 39 42 39  0  0  0  0  0]
 [27 30 31 35 38 38  0  0  0  0  0]
 [23 26 27 31 34 34  0  0  0  0  0]
 [21 22 20 21 24 24  0  0  0  0  0]]","[[ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  4  6  8  0  0  0  0  0  0  0]
 [ 0  7  4 10  0  0  0  0  0  0  0]
 [ 0  0  0 13  7  0  0  0  0  0  0]
 [ 0  0  0  5  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]]","[[ 2  2  2  3 10 10  0  0  0  0  0]
 [ 2  2  2  3 10 10  0  0  0  0  0]
 [ 2  2  2  3 10 10  0  0  0  0  0]
 [ 2  2  2  3 10 10  0  0  0  0  0]
 [ 0  0  0  3 10 10  0  0  0  0  0]
 [ 0  0  0  3 10 10  0  0  0  0  0]]",[508 477 578   0  40  42  45   0   0   0   0],[0 8 8 0 0 0 1 0 0 0 0],[0 5 5 0 0 0 1 0 0 0 0],[0 1 0 0 0 0 0 0 0 0 0]
82,"[[31 35 36 40 44 39  0  0  0  0  0]
 [34 38 39 43 46 41  0  0  0  0  0]
 [31 35 36 40 43 40  0  0  0  0  0]
 [27 31 32 36 39 39  0  0  0  0  0]
 [23 26 27 31 34 34  0  0  0  0  0]
 [21 22 20 21 24 24  0  0  0  0  0]]","[[ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  4  6  8  0  0  0  0  0  0  0]
 [ 0  7  4 10  0  0  0  0  0  0  0]
 [ 0  0  0 13  8  0  0  0  0  0  0]
 [ 0  0  0  5  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]]","[[ 1 10 10 10 10 10  0  0  0  0  0]
 [ 1 10 10 10 10 10  0  0  0  0  0]
 [ 1 10 10 10 10 10  0  0  0  0  0]
 [ 1 10 10 10 10 10  0  0  0  0  0]
 [ 0  0  0  2  9  9  0  0  0  0  0]
 [ 0  0  0  2  9  9  0  0  0  0  0]]",[516 487 585   0  41  43  46   0   0   0   0],[0 8 8 0 0 0 1 0 0 0 0],[0 5 5 0 0 0 1 0 0 0 0],[0 1 0 0 0 0 0 0 0 0 0]
83,"[[31 35 36 40 44 39  0  0  0  0  0]
 [34 38 39 43 46 41  0  0  0  0  0]
 [31 35 36 40 43 40  0  0  0  0  0]
 [27 31 32 36 39 39  0  0  0  0  0]
 [23 26 27 31 34 34  0  0  0  0  0]
 [21 22 20 21 24 24  0  0  0  0  0]]","[[ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  4  6  8  0  0  0  0  0  0  0]
 [ 0  7  4 10  0  0  0  0  0  0  0]
 [ 0  0  0 13  8  0  0  0  0  0  0]
 [ 0  0  0  5  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]]","[[ 1 10 10 10 10 10  0  0  0  0  0]
 [ 1 10 10 10 10 10  0  0  0  0  0]
 [ 1 10 10 10 10 10  0  0  0  0  0]
 [ 1 10 10 10 10 10  0  0  0  0  0]
 [ 0  0  0  2  9  9  0  0  0  0  0]
 [ 0  0  0  2  9  9  0  0  0  0  0]]",[516 487 585   0  41  43  46   0   0   0   0],[0 8 8 0 0 0 1 0 0 0 0],[0 5 5 0 0 0 1 0 0 0 0],[0 1 0 0 0 0 0 0 0 0 0]
84,"[[31 36 37 41 45 40  0  0  0  0  0]
 [34 39 40 44 47 42  0  0  0  0  0]
 [31 36 37 41 44 41  0  0  0  0  0]
 [27 32 33 37 40 40  0  0  0  0  0]
 [23 26 27 31 34 34  0  0  0  0  0]
 [21 22 20 21 24 24  0  0  0  0  0]]","[[ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  4  6  8  0  0  0  0  0  0  0]
 [ 0  7  4 10  0  0  0  0  0  0  0]
 [ 0  0  0 13  9  0  0  0  0  0  0]
 [ 0  0  0  5  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]]","[[ 0 10 10 10 10 10  0  0  0  0  0]
 [ 0 10 10 10 10 10  0  0  0  0  0]
 [ 0 10 10 10 10 10  0  0  0  0  0]
 [ 0 10 10 10 10 10  0  0  0  0  0]
 [ 0  0  0  1  8  8  0  0  0  0  0]
 [ 0  0  0  1  8  8  0  0  0  0  0]]",[524 497 592   0  42  44  47   0   0   0   0],[0 8 8 0 0 1 1 0 0 0 0],[0 5 5 0 0 0 1 0 0 0 0],[0 1 0 0 0 0 0 0 0 0 0]
85,"[[32 37 38 42 46 40  0  0  0  0  0]
 [35 40 41 45 48 42  0  0  0  0  0]
 [32 37 38 42 45 41  0  0  0  0  0]
 [28 33 34 38 41 40  0  0  0  0  0]
 [24 27 28 32 35 34  0  0  0  0  0]
 [22 23 21 22 25 24  0  0  0  0  0]]","[[ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  4  6  8  0  0  0  0  0  0  0]
 [ 0  7  4 10  0  0  0  0  0  0  0]
 [ 0  0  0 13 10  0  0  0  0  0  0]
 [ 0  0  0  5  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]]","[[10 10 10 10 10  9  0  0  0  0  0]
 [10 10 10 10 10  9  0  0  0  0  0]
 [10 10 10 10 10  9  0  0  0  0  0]
 [10 10 10 10 10  9  0  0  0  0  0]
 [10 10 10 10 10  7  0  0  0  0  0]
 [10 10 10 10 10  7  0  0  0  0  0]]",[524 511 606   0  42  45  48   0   0   0   0],[0 8 8 0 0 1 1 0 0 0 0],[0 5 5 0 0 0 1 0 0 0 0],[0 1 0 0 0 0 0 0 0 0 0]
86,"[[33 38 39 43 46 40  0  0  0  0  0]
 [36 41 42 46 48 42  0  0  0  0  0]
 [33 38 39 43 45 41  0  0  0  0  0]
 [29 34 35 39 41 40  0  0  0  0  0]
 [25 28 29 33 35 34  0  0  0  0  0]
 [23 24 22 23 25 24  0  0  0  0  0]]","[[ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  4  6  8  0  0  0  0  0  0  0]
 [ 0  7  4 10  0  0  0  0  0  0  0]
 [ 0  0  0 14 10  0  0  0  0  0  0]
 [ 0  0  0  5  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]]","[[10 10 10 10  9  8  0  0  0  0  0]
 [10 10 10 10  9  8  0  0  0  0  0]
 [10 10 10 10  9  8  0  0  0  0  0]
 [10 10 10 10  9  8  0  0  0  0  0]
 [10 10 10 10  9  6  0  0  0  0  0]
 [10 10 10 10  9  6  0  0  0  0  0]]",[524 522 618   0  42  45  49   0   0   0   0],[0 8 8 0 0 1 1 0 0 0 0],[0 5 5 0 0 0 1 0 0 0 0],[0 1 0 0 0 0 0 0 0 0 0]
87,"[[34 39 40 44 46 40  0  0  0  0  0]
 [37 42 43 47 48 42  0  0  0  0  0]
 [34 39 40 44 45 41  0  0  0  0  0]
 [30 35 36 40 41 40  0  0  0  0  0]
 [26 29 30 34 35 34  0  0  0  0  0]
 [24 25 23 24 25 24  0  0  0  0  0]]","[[ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  4  6  8  0  0  0  0  0  0  0]
 [ 0  7  4 10  0  0  0  0  0  0  0]
 [ 0  0  0 15 10  0  0  0  0  0  0]
 [ 0  0  0  5  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]]","[[10 10 10 10  8  7  0  0  0  0  0]
 [10 10 10 10  8  7  0  0  0  0  0]
 [10 10 10 10  8  7  0  0  0  0  0]
 [10 10 10 10  8  7  0  0  0  0  0]
 [10 10 10 10  8  5  0  0  0  0  0]
 [10 10 10 10  8  5  0  0  0  0  0]]",[524 533 630   0  42  45  50   0   0   0   0],[0 9 8 0 0 1 1 0 0 0 0],[0 5 5 0 0 0 1 0 0 0 0],[0 1 0 0 0 0 0 0 0 0 0]
88,"[[35 40 41 45 46 40  0  0  0  0  0]
 [38 43 44 48 48 42  0  0  0  0  0]
 [35 40 41 45 45 41  0  0  0  0  0]
 [31 36 37 41 41 40  0  0  0  0  0]
 [27 30 31 35 35 34  0  0  0  0  0]
 [25 26 24 25 25 24  0  0  0  0  0]]","[[ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  4  6  8  0  0  0  0  0  0  0]
 [ 0  7  4 10  0  0  0  0  0  0  0]
 [ 0  0  0 16 10  0  0  0  0  0  0]
 [ 0  0  0  5  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]]","[[10 10 10 10  7  6  0  0  0  0  0]
 [10 10 10 10  7  6  0  0  0  0  0]
 [10 10 10 10  7  6  0  0  0  0  0]
 [10 10 10 10  7  6  0  0  0  0  0]
 [10 10 10 10  7  4  0  0  0  0  0]
 [10 10 10 10  7  4  0  0  0  0  0]]",[524 544 642   0  42  45  51   0   0   0   0],[0 9 8 0 0 1 1 0 0 0 0],[0 6 5 0 0 0 1 0 0 0 0],[0 1 0 0 0 0 0 0 0 0 0]
89,"[[36 41 42 45 46 40  0  0  0  0  0]
 [39 44 45 48 48 42  0  0  0  0  0]
 [36 41 42 45 45 41  0  0  0  0  0]
 [32 37 38 41 41 40  0  0  0  0  0]
 [28 31 32 35 35 34  0  0  0  0  0]
 [26 27 25 25 25 24  0  0  0  0  0]]","[[ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  4  6  8  0  0  0  0  0  0  0]
 [ 0  7  4 10  0  0  0  0  0  0  0]
 [ 0  0  1 16 10  0  0  0  0  0  0]
 [ 0  0  0  5  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]]","[[10 10 10  9  6  5  0  0  0  0  0]
 [10 10 10  9  6  5  0  0  0  0  0]
 [10 10 10  9  6  5  0  0  0  0  0]
 [10 10 10  9  6  5  0  0  0  0  0]
 [10 10 10  9  6  3  0  0  0  0  0]
 [10 10 10  9  6  3  0  0  0  0  0]]",[524 552 652   0  42  45  51   0   0   0   0],[0 9 8 0 0 1 1 0 0 0 0],[0 6 5 0 0 0 1 0 0 0 0],[0 1 0 0 0 0 0 0 0 0 0]
90,"[[37 42 43 45 46 40  0  0  0  0  0]
 [40 45 46 48 48 42  0  0  0  0  0]
 [37 42 43 45 45 41  0  0  0  0  0]
 [33 38 39 41 41 40  0  0  0  0  0]
 [29 32 33 35 35 34  0  0  0  0  0]
 [27 28 26 25 25 24  0  0  0  0  0]]","[[ 0  0  0  0  0  0  0  0  0  0  0]
 [ 0  4  6  8  0  0  0  0  0  0  0]
 [ 0  7  4 10  0  0  0  0  0  0  0]
 [ 0  0  2 16 10  0  0  0  0  0  0]
 [ 0  0  0  5  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0  0  0  0  0]]","[[10 10 10  8  5  4  0  0  0  0  0]
 [10 10 10  8  5  4  0  0  0  0  0]
 [10 10 10  8  5  4  0  0  0  0  0]
 [10 10 10  8  5  4  0  0  0  0  0]
 [10 10 10  8  5  2  0  0  0  0  0]
 [10 10 10  8  5  2  0  0  0  0  0]]",[524 560 662   0  42  45  51   0   0   0   0],[ 0 10  8  0  0  1  1  0  0  0  0],[0 6 5 0 0 0 1 0 0 0 0],[0 1 0 0 0 0 0 0 0 0 0]
